date,state,dataQualityGrade,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,pending,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
20200417,KY,A,129,,7,,971,971,477,164,506,333,27318,1285,,,,,,,2429,,138,0,,,,,,956,,0,29747,1423,,,,,,0,29747,1423
20200418,KY,A,137,,8,,1008,1008,360,37,514,227,28074,756,,,,,,,2522,,93,0,,,,,,979,,0,30596,849,,,,,,0,30596,849
20200419,KY,A,144,,7,,1059,1059,274,51,534,155,29518,1444,,,,,,,2707,,185,0,,,,,,1174,,0,32225,1629,,,,,,0,32225,1629
20200420,KY,A,148,,4,,1059,1059,274,0,534,155,29612,94,,,,,,,2960,,253,0,,,,,,1174,,0,32572,347,,,,,,0,32572,347
20200421,KY,A,154,,6,,1059,1059,263,0,582,147,29770,158,,,,,,,3050,,90,0,,,,,,1174,,0,32820,248,,,,,,0,32820,248
20200422,KY,A,171,,17,,1076,1076,286,17,558,165,30136,366,,,,,,,3192,,142,0,,,,,,1266,,0,33328,508,,,,,,0,33328,508
20200423,KY,A,185,,14,,1105,1105,301,29,564,161,32702,2566,,,,,,,3373,,181,0,,,,,,1311,,0,36075,2747,,,,,,0,36075,2747
20200424,KY,A,191,,6,,1115,1115,302,10,570,163,39363,6661,,,,,,,3481,,108,0,,,,,,1335,,0,42844,6769,,,,,,0,42844,6769
20200425,KY,A,200,,9,,1143,1143,303,28,575,164,41183,1820,,,,,,,3779,,298,0,,,,,,1341,,0,44962,2118,,,,,,0,44962,2118
20200426,KY,A,205,,5,,1266,1266,301,123,605,164,42653,1470,,,,,,,3905,,126,0,,,,,,1501,,0,46558,1596,,,,,,0,46558,1596
20200427,KY,A,208,,3,,1274,1274,308,8,608,166,44400,1747,,,,,,,4074,,169,0,,,,,,1511,,0,48474,1916,,,,,,0,48474,1916
20200428,KY,A,213,,5,,1281,1281,313,7,612,165,44653,253,,,,,,,4146,4145,72,0,,,,,,1521,,0,48799,325,,,,,,0,48798,324
20200429,KY,A,225,,12,,1331,1331,320,50,625,170,48036,3383,,,,,,,4375,4374,229,0,,,,,,1617,,0,52411,3612,,,,,,0,52410,3612
20200430,KY,A,235,,10,,1359,1359,325,28,636,176,49562,1526,,,,,,,4539,4539,164,0,,,,,,1668,,0,54101,1690,,,,,,0,54101,1691
20200501,KY,A,240,,5,,1375,1375,330,16,642,178,51904,2342,,,,,,,4708,4707,169,0,,,,,,1675,,0,56612,2511,,,,,,0,56611,2510
20200502,KY,A,248,,8,,1411,1411,334,36,652,178,52770,866,,,,,,,4879,4878,171,0,,,,,,1752,,0,57649,1037,,,,,,0,57648,1037
20200503,KY,A,248,252,0,,1411,1411,334,0,652,178,52770,0,,,,,,,4879,4878,0,0,,,,,,1752,,0,57649,0,,,,,,0,57648,0
20200504,KY,A,253,252,5,,1519,1519,329,108,654,170,53279,509,,,,,,,5130,5129,251,0,,,,,,1892,,0,58409,760,,,,,,0,58408,760
20200505,KY,A,261,260,8,,1529,1529,333,10,659,174,54802,1523,,,,,,,5245,5244,115,0,,,,,,1892,,0,60047,1638,,,,,,0,60046,1638
20200506,KY,A,275,274,14,,1603,1603,347,74,685,189,55192,390,,,,,,,5822,5821,577,0,,,,,,2058,,0,61014,967,,,,,,0,61013,967
20200507,KY,A,283,282,8,,1616,1616,351,13,693,190,72672,17480,,,,,,,5934,5931,112,0,,,,,,2125,,0,78606,17592,,,,,,0,78603,17590
20200508,KY,A,294,294,11,,1684,1684,356,68,714,199,75272,2600,,,,,,,6129,6119,195,0,,,,,,2177,,0,81401,2795,,,,,,0,81391,2788
20200509,KY,A,298,298,4,,1696,1696,369,12,723,210,80159,4887,,,,,,,6288,6269,159,0,,,,,,2266,,0,86447,5046,,,,,,0,86428,5037
20200510,KY,A,304,304,6,,1757,1757,394,61,758,226,80483,324,,,,,,,6440,6417,152,0,,,,,,2308,,0,86923,476,,,,,,0,86900,472
20200511,KY,A,304,304,0,,1757,1757,394,0,758,226,80483,0,,,,,,,6440,6417,0,0,,,,,,2308,,0,86923,0,,,,,,0,86900,0
20200512,KY,A+,311,311,7,,1767,1767,383,10,768,220,97347,16864,,,,,,,6677,6654,237,0,,,,,,2335,,0,104024,17101,,,,,,0,104001,17101
20200513,KY,A+,321,321,10,,1825,1825,379,58,783,215,103781,6434,,,,,,,6853,6828,176,0,,,,,,2546,,0,110634,6610,,,,,,0,104001,0
20200514,KY,A+,326,326,5,,1835,1835,377,10,784,215,110315,6534,,,,,,,7080,7049,227,0,,,,,,2649,,0,117395,6761,,,,,,0,110609,6608
20200515,KY,A+,328,328,2,,1887,1887,385,52,794,220,114053,3738,,,,,,,7225,7193,145,0,,,,,,2712,,0,121278,3883,,,,,,0,121246,10637
20200516,KY,A+,332,332,4,,1896,1896,381,9,797,218,120290,6237,,,,,,,7444,7408,219,0,,,,,,2739,,0,127734,6456,,,,,,0,127698,6452
20200517,KY,A+,334,334,2,,1896,1896,381,0,797,218,121997,1707,,,,,,,7688,7408,244,0,,,,,,2768,,0,129685,1951,,,,,,0,129405,1707
20200518,KY,A+,334,334,0,,1896,1896,381,0,797,218,121997,0,,,,,,,7688,7408,0,0,,,,,,2768,,0,129685,0,,,,,,0,129405,0
20200519,KY,A+,366,345,32,1,1980,1980,447,84,866,277,145917,23920,,,,,,,8069,7883,381,0,,,,,,2826,,0,153986,24301,,,,,,0,153800,24395
20200520,KY,A,366,365,0,1,2010,2010,443,30,875,269,145917,0,,,,,,,8069,7979,0,0,,,,,,2826,,0,153986,0,,,,,,0,153800,0
20200521,KY,A,376,375,10,1,2016,2016,474,6,879,98,150505,4588,,,,,,,8167,8059,98,0,,,,,,2919,,0,158672,4686,,,,,,0,158672,4872
20200522,KY,A,386,385,10,1,2041,2041,475,25,886,92,157954,7449,,,,,,,8286,8175,119,0,,,,,,3008,,0,166240,7568,,,,,,0,166240,7568
20200523,KY,A,391,390,5,1,2076,2076,477,35,889,90,163033,5079,,,,,,,8426,8305,140,0,,,,,,3069,,0,171459,5219,,,,,,0,171338,5098
20200524,KY,A,391,390,0,1,2131,2131,484,55,897,89,161285,-1748,,,,,,,8571,8451,145,0,,,,,,3102,,0,169856,-1603,,,,,,0,169736,-1602
20200525,KY,A,391,390,0,1,2131,2131,484,0,897,89,161285,0,,,,,,,8571,8451,0,0,,,,,,3102,,0,169856,0,,,,,,0,169736,0
20200526,KY,A,391,390,0,1,2131,2131,484,0,897,89,161285,0,,,,,,,8571,8451,0,0,,,,,,3102,,0,169856,0,,,,,,0,169736,0
20200527,KY,A,400,399,9,1,2136,2136,489,5,897,78,173024,11739,,,,,,,9077,8924,506,0,,,,,,3124,,0,182101,12245,18814,,,,,0,181948,12212
20200528,KY,A,400,399,0,1,2142,2142,512,6,899,82,173024,0,,,,,,,9077,8924,0,0,,,,,,3124,,0,182101,0,18814,,,,,0,181948,0
20200529,KY,A,409,408,9,1,2180,2180,494,38,937,88,212090,39066,,,,,,,9184,9028,107,0,,,,,,3181,,0,221274,39173,19112,,,,,0,221118,39170
20200530,KY,A,418,417,9,1,2266,2266,499,86,940,81,198731,-13359,,,,,,,9464,9303,280,0,,,,,,3231,,0,208195,-13079,19910,,,,,0,208034,-13084
20200531,KY,A,431,430,13,1,2272,2272,480,6,940,87,204049,5318,,,,,,,9704,9537,240,0,,,,,,3232,,0,213753,5558,20556,,,,,0,213586,5552
20200601,KY,A,439,438,8,1,2274,2274,457,2,940,90,206000,1951,,,,,,,10046,9853,342,0,,,,,,3232,,0,216046,2293,20563,,,,,0,215853,2267
20200602,KY,A,442,441,3,1,2307,2307,481,33,941,85,217086,11086,,,,,,,10185,9970,139,0,,,,,,3275,,0,227271,11225,26529,,,,,0,227056,11203
20200603,KY,B,450,449,8,1,2317,2317,488,10,950,68,221789,4703,,,,,,,10410,10192,225,0,,,,,,3283,,0,232199,4928,26568,,,,,0,232199,5143
20200604,KY,B,458,456,8,2,2332,2332,518,15,954,67,225220,3431,,,,,,,10705,10479,295,0,,,,,,3303,,0,235925,3726,26789,,,,,0,235925,3726
20200605,KY,B,466,465,8,1,2345,2345,505,13,958,73,231440,6220,,,,,,,10977,10734,272,0,,,,,,3316,,0,242417,6492,32745,,,,,0,242174,6249
20200606,KY,B,470,468,4,2,2361,2361,495,16,958,75,237775,6335,,,,,,,11287,11031,310,0,,,,,,3344,,0,249062,6645,32753,,,,,0,248806,6632
20200607,KY,B,470,468,0,2,2361,2361,495,0,958,75,237775,0,,,,,,,11287,11031,0,0,,,,,,3344,,0,249062,0,32753,,,,,0,248806,0
20200608,KY,B,472,470,2,2,2368,2368,486,7,958,76,241381,3606,,,,,,,11476,11212,189,0,,,,,,3359,,0,252857,3795,32765,,,,,0,252593,3787
20200609,KY,B,477,475,5,2,2386,2386,525,18,966,75,248230,6849,,,,,,,11708,11419,232,0,,,,,,3365,,0,259938,7081,27948,,,,,0,259649,7056
20200610,KY,B,484,482,7,2,2396,2396,508,10,966,68,262531,14301,,,,,,,11883,11576,175,0,,,,,,3375,,0,274414,14476,28240,,,,,0,274107,14458
20200611,KY,B,493,491,9,2,2406,2406,514,10,967,81,269149,6618,,,,,,,11945,11637,62,0,,,,,,3379,,0,281094,6680,28319,,,,,0,280786,6679
20200612,KY,B,493,491,0,2,2406,2406,514,0,967,81,269149,0,,,,,,,11945,11637,0,0,,,,,,3379,,0,281094,0,28319,,,,,0,280786,0
20200613,KY,B,499,497,6,2,2433,2433,410,27,969,68,282140,12991,,,,,,,12445,12125,500,0,,,,,,3409,,0,294585,13491,28635,,,,,0,294265,13479
20200614,KY,B,499,497,0,2,2433,2433,410,0,969,68,282140,0,,,,,,,12445,12125,0,0,,,,,,3409,,0,294585,0,28635,,,,,0,294265,0
20200615,KY,B,505,503,6,2,2433,2433,383,0,969,63,283204,1064,,,,,,,12647,12326,202,0,,,,,,3416,,0,295851,1266,29535,,,,,0,295530,1265
20200616,KY,B,512,510,7,2,2436,2436,395,3,969,69,283204,0,,,,,,,12829,12490,182,0,,,,,,3431,,0,296033,182,29733,,,,,0,294700,-830
20200617,KY,B,518,516,6,2,2455,2455,416,19,971,61,286874,3670,,,,,,,12995,12646,166,0,,,,,,3444,,0,299869,3836,30190,,,,,0,299520,4820
20200618,KY,B,520,518,2,2,2482,2482,400,27,975,68,293183,6309,,,,,,,13197,12846,202,0,,,,,,3506,,0,306380,6511,30238,,,,,0,306029,6509
20200619,KY,B,522,519,2,3,2494,2494,339,12,978,64,297773,4590,,,,,,,13454,13097,257,0,,,,,,3516,,0,311227,4847,30270,,,,,0,310870,4841
20200620,KY,B,524,521,2,3,2522,2522,354,28,980,62,303531,5758,,,,,,,13630,13253,176,0,,,,,,3530,,0,317161,5934,30547,,,,,0,316784,5914
20200621,KY,B,526,523,2,3,2522,2522,354,0,980,62,303531,0,,,,,,,13750,13369,120,0,,,,,,3530,,0,317281,120,30547,,,,,0,316784,0
20200622,KY,B,526,522,0,4,2532,2532,349,10,987,67,308193,4662,,,,,,,13839,13449,89,0,,,,,,3534,,0,322032,4751,30573,,,,,0,321642,4858
20200623,KY,B,537,533,11,4,2556,2556,376,24,988,70,317153,8960,,,,,,,14141,13736,302,0,,,,,,3591,,0,331294,9262,32138,,,,,0,330889,9247
20200624,KY,B,538,534,1,4,2574,2574,335,18,992,79,321339,4186,,,,,,,14363,13937,222,0,,,,,,3706,,0,335702,4408,32876,,,,,0,335276,4387
20200625,KY,B,546,542,8,4,2584,2584,377,10,994,79,328265,6926,,,,,,,14617,14182,254,0,,,,,,3719,,0,342882,7180,34447,,,,,0,342447,7171
20200626,KY,B,553,550,7,3,2589,2589,387,5,996,74,335895,7630,,,,,,,14859,14401,242,0,,,,,,3730,,0,350754,7872,33340,,,,,0,350296,7849
20200627,KY,B,553,550,0,3,2589,2589,387,0,996,74,335895,0,,,,,,,14859,14401,0,0,,,,,,3730,,0,350754,0,33340,,,,,0,350296,0
20200628,KY,B,558,555,5,3,2590,2590,386,1,996,68,343259,7364,,,,,,,15232,14732,373,0,,,,,,3730,,0,358491,7737,33837,,,,,0,357928,7632
20200629,KY,B,560,557,2,3,2602,2602,381,12,999,69,346094,2835,,,,,,,15347,14835,115,0,,,,,,3939,,0,361441,2950,33844,,,,,0,360929,3001
20200630,KY,B,565,561,5,4,2621,2621,408,19,1019,75,355310,9216,,,,,,,15624,15090,277,0,,,,,,3990,,0,370934,9493,34381,,,,,0,370400,9471
20200701,KY,B,572,568,7,4,2635,2635,427,14,1007,73,361248,5938,,,,,,,15842,15286,218,0,,,,,,4052,,0,377090,6156,34683,,,,,0,376534,6134
20200702,KY,B,581,577,9,4,2662,2662,430,27,994,73,369715,8467,,,,,,,16079,15508,237,0,,,,,,4726,,0,385794,8704,34835,,,,,0,385223,8689
20200703,KY,B,585,581,4,4,2685,2685,455,23,996,99,379271,9556,,,,,,,16376,15781,297,0,,,,,,4747,,0,395647,9853,35019,,,,,0,395052,9829
20200704,KY,B,585,581,0,4,2685,2685,455,0,996,99,379271,0,,,,,,,16376,15781,0,0,,,,,,4747,,0,395647,0,35019,,,,,0,395052,0
20200705,KY,B,585,581,0,4,2685,2685,455,0,996,99,379271,0,,,,,,,16376,15781,0,0,,,,,,4747,,0,395647,0,35019,,,,,0,395052,0
20200706,KY,B,593,589,8,4,2699,2699,433,14,1000,109,383190,3919,,,,,,,17152,16525,776,0,,,,,,4785,,0,400342,4695,35756,,,,,0,399715,4663
20200707,KY,B,602,598,9,4,2708,2708,421,9,1003,110,392353,9163,,,,,,,17519,16864,367,0,,,,,,4841,,0,409872,9530,35979,,,,,0,409217,9502
20200708,KY,B,608,604,6,4,2737,2737,453,29,1007,111,398002,5649,,,,,,,17919,17202,400,0,,,,,,4912,,0,415921,6049,36247,,,,,0,415204,5987
20200709,KY,B,612,608,4,4,2747,2747,457,10,1007,105,405768,7766,,,,,,,18245,17491,326,0,,,,,,4939,,0,424013,8092,38497,,,,,0,423259,8055
20200710,KY,B,620,616,8,4,2763,2763,409,16,1012,70,414020,8252,,,,,,,18670,17890,425,0,,,,,,5258,,0,432690,8677,38638,,,,,0,431910,8651
20200711,KY,B,622,618,2,4,2779,2779,370,16,1014,75,418781,4761,,,,,,,19121,18307,451,0,,,,,,5322,,0,437902,5212,38895,,,,,0,437088,5178
20200712,KY,B,625,621,3,4,2779,2779,370,0,1014,75,418781,0,,,,,,,19389,18562,268,0,,,,,,5322,,0,438170,268,38895,,,,,0,437088,0
20200713,KY,B,629,625,4,4,2791,2791,440,12,1017,87,422232,3451,,,,,,,19653,18824,264,0,,,,,,5344,,0,441885,3715,39316,,,,,0,441056,3968
20200714,KY,B,635,631,6,4,2802,2802,449,11,1019,84,435333,13101,,,,,,,20223,19349,570,0,,,,,,5389,,0,455556,13671,39661,,,,,0,454682,13626
20200715,KY,B,645,641,10,4,2823,2823,445,21,1028,92,438510,3177,,,,,,,20677,19737,454,0,,,,,,5475,,0,459187,3631,39932,,,,,0,458247,3565
20200716,KY,B,650,646,5,4,2842,2842,418,19,1030,92,446921,8411,,,,,,,21083,20118,406,0,,,,,,5500,,0,468004,8817,40158,,,,,0,467039,8792
20200717,KY,B,658,653,8,5,2864,2864,452,22,1031,89,461457,14536,,,,,,,21605,20607,522,0,,,,,,6772,,0,483062,15058,40203,,,,,0,482064,15025
20200718,KY,B,667,662,9,5,2875,2875,514,11,1033,109,468017,6560,,,,,,,22184,21128,579,0,,,,,,6824,,0,490201,7139,40308,,,,,0,489145,7081
20200719,KY,B,670,666,3,4,2880,2880,511,5,1035,102,469563,1546,,,,,,,23161,22095,977,0,,,,,,6874,,0,492724,2523,40309,,,,,0,491658,2513
20200720,KY,B,671,667,1,4,2882,2882,542,2,1035,114,470740,1177,,,,,,,23414,22328,253,0,,,,,,6876,,0,494154,1430,40357,,,,,0,493068,1410
20200721,KY,B,674,670,3,4,2900,2900,532,18,1036,136,484633,13893,,,,,,,24060,22916,646,0,,,,,,6927,,0,508693,14539,41592,,,,,0,507549,14481
20200722,KY,B,677,673,3,4,2914,2914,603,14,1039,145,494535,9902,,,,,,,24540,23336,480,0,,,,,,7000,,0,519075,10382,42223,,,,,0,517871,10322
20200723,KY,B,684,680,7,4,2921,2921,581,7,1040,135,499648,5113,,,,,,,25147,23882,607,0,,,,,,7046,,0,524795,5720,41859,,,,,0,523530,5659
20200724,KY,B,691,687,7,4,3248,3248,618,327,1125,130,507545,7897,,,,,,,25931,24615,784,0,,,,,,7396,,0,533476,8681,41959,,,,,0,532160,8630
20200725,KY,B,696,692,5,4,3266,3266,595,18,1126,132,514819,7274,,,,,,,26764,25390,833,0,,,,,,7421,,0,541583,8107,42175,,,,,0,540209,8049
20200726,KY,B,700,696,4,4,3266,3266,595,0,1126,132,514819,0,,,,,,,27079,25699,315,0,,,,,,7421,,0,541898,315,42175,,,,,0,540209,0
20200727,KY,B,709,705,9,4,3276,3276,609,10,1129,131,519849,5030,,,,,,,27601,26209,522,0,,,,,,7466,,0,547450,5552,42699,,,,,0,546058,5849
20200728,KY,B,719,715,10,4,3279,3279,584,3,1132,115,529587,9738,,,,,,,28126,26656,525,0,,,,,,7470,,0,557713,10263,42814,,,,,0,556243,10185
20200729,KY,B,724,720,5,4,3281,3281,571,2,1133,112,539614,10027,,,,,,,28727,27173,601,0,,,,,,7495,,0,568341,10628,42980,222,,,,0,566787,10544
20200730,KY,B,731,727,7,4,3304,3304,587,23,1133,110,549920,10306,,,,,,,29386,27716,659,0,,,,,,7590,,0,579306,10965,43348,222,,,,0,577636,10849
20200731,KY,B,735,731,4,4,3314,3314,597,10,1133,150,557672,7752,,,,,,,30151,28404,765,0,,,,,,7481,,0,587823,8517,43408,222,,,,0,586076,8440
20200801,KY,B,740,736,5,4,3782,3782,602,468,1207,128,565951,8279,,,,,,,30723,28922,572,0,,,,,,8135,,0,596674,8851,43626,273,,,,0,594873,8797
20200802,KY,B,742,738,2,4,3782,3782,602,0,1207,128,565951,0,,,,,,,31185,29346,462,0,,,,,,8135,,0,597136,462,43626,273,,,,0,594873,0
20200803,KY,B,744,740,2,4,3815,3815,612,33,1212,136,568785,2834,,,,,,,31508,29623,323,0,,,,,,8335,,0,600293,3157,43896,273,,,,0,598408,3535
20200804,KY,B,751,747,7,4,3851,3851,638,36,1232,135,575658,6873,,,,,,,32197,30238,689,0,,,,,,8406,,0,607855,7562,43924,273,,,,0,605896,7488
20200805,KY,B,752,748,1,4,3903,3903,620,52,1239,131,588081,12423,,,,,,,32741,30712,544,0,,,,,,8467,,0,620822,12967,43944,363,,,,0,618793,12897
20200806,KY,B,760,756,8,4,3924,3924,701,21,1248,140,599190,11109,,,,,,,33254,31146,513,0,,,,,,8523,,0,632444,11622,44033,387,,,,0,630336,11543
20200807,KY,B,764,760,4,4,3975,3975,717,51,1254,136,608198,9008,,,,,,,33796,31635,542,0,,,,,,8589,,0,641994,9550,44093,430,,,,0,639833,9497
20200808,KY,B,772,767,8,5,4002,4002,653,27,1258,149,613857,5659,,,,,,,34578,32330,782,0,,,,,,8674,,0,648435,6441,44296,459,,,,0,646187,6354
20200809,KY,B,773,768,1,5,4002,4002,653,0,1258,149,613857,0,,,,,,,34982,32713,404,0,,,,,,8674,,0,648839,404,44296,459,,,,0,646187,0
20200810,KY,B,775,770,2,5,4024,4024,641,22,1267,155,622553,8696,,,,,,,35254,32941,272,0,,,,,,8738,,0,657807,8968,44407,516,,,,0,655494,9307
20200811,KY,B,783,778,8,5,4063,4063,667,39,1270,148,632562,10009,,,,,,,35793,33379,539,0,,,,,,8819,,0,668355,10548,44520,556,,,,0,665941,10447
20200812,KY,B,790,785,7,5,4091,4091,683,28,1279,143,637830,5268,,,,,,,36945,34415,1152,0,,,,,,8893,,0,674775,6420,44569,556,,,,0,672245,6304
20200813,KY,B,796,791,6,5,4116,4116,658,25,1291,140,649934,12104,,,,,,,37686,35036,741,0,,,,,,8965,,0,687620,12845,44808,584,,,,0,684970,12725
20200814,KY,B,804,799,8,5,4158,4158,656,42,1296,147,662344,12410,,,,,,,38298,35565,612,0,,,,,,9021,,0,700642,13022,44926,665,,,,0,697909,12939
20200815,KY,B,810,805,6,5,4193,4193,618,35,1304,131,673046,10702,,,,,,,38930,36117,632,0,,,,,,9091,,0,711976,11334,45157,665,,,,0,709163,11254
20200816,KY,B,813,808,3,5,4193,4193,618,0,1304,131,673046,0,,,,,,,39315,36475,385,0,,,,,,9091,,0,712361,385,45157,665,,,,0,709163,0
20200817,KY,B,818,813,5,5,4215,4215,563,22,1310,136,677125,4079,,,,,,,39691,36824,376,0,,,,,,9158,,0,716816,4455,45353,720,,,,0,713949,4786
20200818,KY,B,830,825,12,5,4252,4252,622,37,1320,147,686601,9476,,,,,,,40299,37304,608,0,,,,,,9233,,0,726900,10084,45757,720,,,,0,723905,9956
